226 6 662 6 561
227 0 0 0 0
228 0 0 0 0
229 1 52 1 95
230 0 0 0 0
231 3 226 3 199
232 0 0 0 0
233 0 0 0 0
234 1 52 1 94
235 0 0 0 0
236 0 0 0 0
237 3 226 3 199
238 0 0 0 0
239 3 565 3 346
240 4 592 3 346
241 1 200 0 0
242 2 252 1 52
243 4 426 3 213
244 1 52 1 52
245 0 0 1 109
246 1 52 0 0
247 0 0 0 0
248 1 52 1 52
249 4 1732 2 143
250 5 566 5 302
251 11 607 11 12625
252 3 392 3 342
253 4 573 4 438
254 6 1317 6 1276
255 1 52 1 95
256 0 0 0 0
257 0 0 0 0
258 2 425 2 104
259 2 139 2 290
260 2 605 0 0
261 1 52 3 342
262 2 139 2 162
263 4 573 4 441
264 2 296 0 0
265 3 171 4 945
266 0 0 0 0
267 0 0 0 0
268 0 0 0 0
269 0 0 0 0
270 6 1211 6 601
271 6 1191 6 654
272 37 2176 126 179441
273 44 8772 102 123775
274 21 1092 31 37445
275 4 488 4 449
276 2 847 2 104
277 8 1269 8 1136
278 3 609 3 341
279 6 476 7 1081
280 9 3182 10 1145
281 6 589 6 650
282 5 855 5 1156
283 13 4387 12 3154
284 25 3907 27 20909
285 17 1014 27 33440
286 3 480 3 345
287 1 52 1 52
288 4 1002 4 471
289 4 841 4 398
290 5 1227 4 1641
291 8 2432 10 1506
292 0 0 0 0
293 50 9204 63 51798
294 0 0 0 0
295 14 3322 11 4290
296 4 208 8 5079
297 12 4411 12 3948
298 19 2232 19 20067
299 26 1759 40 43260
300 2 384 2 104
301 5 449 6 967
302 3 392 2 290
303 0 0 0 0
304 0 0 0 0
305 0 0 0 0
306 5 522 6 542
307 3 477 3 342
308 3 389 3 346
309 0 0 0 0
310 0 0 0 0
311 0 0 0 0
312 0 0 0 0
313 0 0 0 0
314 11 1760 9 1304
315 0 0 0 0
316 0 0 0 0
317 8 947 6 566
318 9 1176 8 726
319 1 52 3 345
320 4 520 4 398
321 3 433 3 346
322 3 389 3 893
323 6 878 6 1849
324 3 348 3 346
325 0 0 0 0
326 0 0 0 0
327 0 0 0 0
328 0 0 0 0
329 0 0 0 0
330 0 0 0 0
331 3 226 3 195
332 0 0 0 0
333 0 0 0 0
334 1 52 1 52
335 0 0 0 0
336 1 52 1 52
337 0 0 0 0
338 0 0 0 0
339 0 0 0 0
340 0 0 0 0
341 0 0 0 0
342 0 0 0 0
343 0 0 0 0
344 7 1325 6 1094
345 0 0 0 0
346 0 0 0 0
347 0 0 0 0
348 0 0 0 0
349 0 0 0 0
350 0 0 0 0
351 0 0 0 0
352 0 0 0 0
353 0 0 0 0
354 0 0 0 0
355 0 0 0 0
356 2 174 3 195
357 3 307 3 195
